CFX,AAAI δ_max,Wilks δ_max,MILP δ_max,Difference
"[0.39706767 0.35373726 0.58229112 0.01664631 0.58100708 0.1929972
 0.17391304]",0.020924421229148754,0.07800000000000001,0.022400000000000003,0.05560000000000001
"[0.37471855 0.84931575 0.65743073 0.15625    0.53486839 0.76162465
 0.47826087]",0.020924421229148754,0.082,0.022200000000000004,0.0598
"[0.49522386 0.82419381 0.6070529  0.53125    0.49484536 0.61554912
 0.43478261]",0.020924421229148754,0.08650000000000001,0.0238,0.0627
"[0.64399191 0.81628887 0.35264484 0.05208333 0.69072165 0.23865546
 0.56521739]",0.020924421229148754,0.08195,0.0229,0.05904999999999999
"[0.23224676 0.35967129 0.47607053 0.70833333 0.54639175 0.50712446
 0.04347826]",0.020924421229148754,0.07115000000000002,0.0216,0.04955000000000002
"[0.48240388 0.84428426 0.70025189 0.46875    0.54639175 0.61323241
 0.82608696]",0.020924421229148754,0.08715,0.0242,0.06295
"[0.79390909 0.1292696  0.10831234 0.02083333 0.79381443 0.24635226
 0.13043478]",0.020924421229148754,0.07405,0.0228,0.051250000000000004
"[0.39706767 0.35373726 0.58229112 0.01664631 0.58100708 0.1929972
 0.17391304]",0.020924421229148754,0.07800000000000001,0.022400000000000003,0.05560000000000001
"[0.57622261 0.87951419 0.49370277 0.6875     0.5257732  0.64981672
 0.43478261]",0.020924421229148754,0.08100000000000002,0.022600000000000002,0.058400000000000014
"[0.52630378 0.53689644 0.13098237 0.16309939 0.57577899 0.05945258
 0.2173913 ]",0.020924421229148754,0.0685,0.023600000000000003,0.0449
"[0.40493415 0.82723545 0.88664987 0.46875    0.44329897 0.73272755
 0.56521739]",0.020924421229148754,0.0745,0.022500000000000003,0.05199999999999999
"[0.37471855 0.84931575 0.65743073 0.15625    0.53486839 0.76162465
 0.47826087]",0.020924421229148754,0.082,0.022200000000000004,0.0598
"[0.56205681 0.60375325 0.42296237 0.13541667 0.84313721 0.28711485
 0.95652174]",0.020924421229148754,0.07950000000000002,0.022200000000000004,0.05730000000000001
"[0.44864261 0.84889172 0.86649874 0.35416667 0.5257732  0.72412945
 0.65217391]",0.020924421229148754,0.0719,0.021000000000000005,0.0509
"[0.43653542 0.56941875 0.260117   0.1875     0.79443105 0.22689076
 0.95652174]",0.020924421229148754,0.08565,0.023200000000000002,0.062450000000000006
"[0.13814648 0.75974615 0.09823678 0.05208333 0.55670103 0.58823529
 0.69565217]",0.020924421229148754,0.07,0.022400000000000003,0.0476
"[0.48240388 0.84428426 0.70025189 0.46875    0.54639175 0.61323241
 0.82608696]",0.020924421229148754,0.08715,0.0242,0.06295
"[0.48240388 0.84428426 0.70025189 0.46875    0.54639175 0.61323241
 0.82608696]",0.020924421229148754,0.08715,0.0242,0.06295
"[0.29027776 0.623242   0.35012594 0.13541667 0.62886598 0.73081232
 0.34782609]",0.020924421229148754,0.07475000000000001,0.021900000000000003,0.05285000000000001
"[0.14856419 0.47319498 0.60201511 0.30208333 0.55670103 0.43000549
 0.        ]",0.020924421229148754,0.07195000000000001,0.021900000000000003,0.05005000000000001
"[0.4158308  0.93526571 0.55415617 0.52083333 0.46391753 0.46676826
 0.34782609]",0.020924421229148754,0.07700000000000001,0.023100000000000002,0.05390000000000001
"[0.40493415 0.82723545 0.88664987 0.46875    0.44329897 0.73272755
 0.56521739]",0.020924421229148754,0.0745,0.022500000000000003,0.05199999999999999
"[0.49730339 0.87717137 0.62972292 0.41666667 0.54639175 0.51491341
 0.52173913]",0.020924421229148754,0.06434999999999999,0.021500000000000002,0.042849999999999985
"[0.39706767 0.35373726 0.58229112 0.01664631 0.58100708 0.1929972
 0.17391304]",0.020924421229148754,0.07800000000000001,0.022400000000000003,0.05560000000000001
"[0.29994836 0.87867324 0.69269521 0.02083333 0.55489861 0.82352941
 0.60869565]",0.020924421229148754,0.08005000000000001,0.0217,0.05835000000000001
"[0.39706767 0.35373726 0.58229112 0.01664631 0.58100708 0.1929972
 0.17391304]",0.020924421229148754,0.07800000000000001,0.022400000000000003,0.05560000000000001
"[0.37345819 0.75616204 0.25440806 0.05208333 0.8556701  0.78543417
 0.82608696]",0.020924421229148754,0.07205,0.021100000000000004,0.050949999999999995
"[0.40282056 0.32744036 0.43324937 0.18301184 0.67879762 0.24089636
 0.04347826]",0.020924421229148754,0.08580000000000002,0.024800000000000003,0.06100000000000001
"[0.13814648 0.75974615 0.09823678 0.05208333 0.55670103 0.58823529
 0.69565217]",0.020924421229148754,0.07,0.022400000000000003,0.0476
"[0.37345819 0.75616204 0.25440806 0.05208333 0.8556701  0.78543417
 0.82608696]",0.020924421229148754,0.07205,0.021100000000000004,0.050949999999999995
"[0.79390909 0.1292696  0.10831234 0.02083333 0.79381443 0.24635226
 0.13043478]",0.020924421229148754,0.07405,0.0228,0.051250000000000004
"[0.33475657 0.39390393 0.54373146 0.02083333 0.62887804 0.29831933
 0.26086957]",0.020924421229148754,0.0879,0.024,0.06390000000000001
"[0.57901383 0.74025503 0.35930261 0.21875    0.75200753 0.17086835
 0.86956522]",0.020924421229148754,0.07820000000000002,0.0229,0.055300000000000016
"[0.56205681 0.60375325 0.42296237 0.13541667 0.84313721 0.28711485
 0.95652174]",0.020924421229148754,0.07950000000000002,0.022200000000000004,0.05730000000000001
"[0.43653542 0.56941875 0.260117   0.1875     0.79443105 0.22689076
 0.95652174]",0.020924421229148754,0.08565,0.023200000000000002,0.062450000000000006
"[0.37471855 0.84931575 0.65743073 0.15625    0.53486839 0.76162465
 0.47826087]",0.020924421229148754,0.082,0.022200000000000004,0.0598
"[0.54619042 0.98012039 0.4193461  0.23958333 0.5961941  0.18795518
 0.65217391]",0.020924421229148754,0.06785,0.0218,0.046049999999999994
"[0.45873839 0.86129753 0.77833753 0.17708333 0.60043062 0.76022409
 0.43478261]",0.020924421229148754,0.06939999999999999,0.023200000000000002,0.04619999999999999
"[0.33475657 0.1603469  0.53904282 0.13832749 0.54639175 0.21848739
 0.13043478]",0.020924421229148754,0.0731,0.022150000000000003,0.050949999999999995
"[0.13814648 0.75974615 0.09823678 0.05208333 0.55670103 0.58823529
 0.69565217]",0.020924421229148754,0.07,0.022400000000000003,0.0476
"[0.43232566 0.9033593  0.5768262  0.55208333 0.46391753 0.46513134
 0.47826087]",0.020924421229148754,0.06540000000000001,0.022200000000000004,0.04320000000000001
"[0.14856419 0.47319498 0.60201511 0.30208333 0.55670103 0.43000549
 0.        ]",0.020924421229148754,0.07195000000000001,0.021900000000000003,0.05005000000000001
"[0.56649746 0.94852431 0.57178841 0.64583333 0.55670103 0.63317575
 0.34782609]",0.020924421229148754,0.07850000000000001,0.022600000000000002,0.05590000000000001
"[0.58680197 0.98909606 0.55667506 0.02083333 0.77586424 0.5767507
 0.30434783]",0.020924421229148754,0.06740000000000002,0.0221,0.045300000000000014
"[0.33475657 0.39390393 0.54373146 0.02083333 0.62887804 0.29831933
 0.26086957]",0.020924421229148754,0.0879,0.024,0.06390000000000001
"[0.39706767 0.35373726 0.58229112 0.01664631 0.58100708 0.1929972
 0.17391304]",0.020924421229148754,0.07800000000000001,0.022400000000000003,0.05560000000000001
"[0.49522386 0.82419381 0.6070529  0.53125    0.49484536 0.61554912
 0.43478261]",0.020924421229148754,0.08650000000000001,0.0238,0.0627
"[0.49730339 0.87717137 0.62972292 0.41666667 0.54639175 0.51491341
 0.52173913]",0.020924421229148754,0.06434999999999999,0.021500000000000002,0.042849999999999985
"[0.4158308  0.93526571 0.55415617 0.52083333 0.46391753 0.46676826
 0.34782609]",0.020924421229148754,0.07700000000000001,0.023100000000000002,0.05390000000000001
"[0.37345819 0.75616204 0.25440806 0.05208333 0.8556701  0.78543417
 0.82608696]",0.020924421229148754,0.07205,0.021100000000000004,0.050949999999999995
 
Mean MILP,Mean Wilks
0.022574999999999998,0.076827
